Dataset,Model,ARI_Test,NMI_Test,Time_s
voronoi,KMeans,0.6368522683350953,0.6959780754930952,0.05679202079772949
voronoi,GMM,0.6462872731496188,0.7366815734882713,0.9371652603149414
voronoi,CLIS-Single,0.5242511270117335,0.6214966348974128,2.5632104873657227
voronoi,CLIS-Forest,0.60878998743806,0.6012070621344053,13.158869743347168
spiral_volatility,KMeans,0.002176882459673309,0.0015853777891246484,0.6548385620117188
spiral_volatility,GMM,0.876308273338841,0.7448709484369421,1.240401268005371
spiral_volatility,CLIS-Single,0.0,0.0,6.89413046836853
spiral_volatility,CLIS-Forest,0.0,0.0,10.888376235961914
density_bias,KMeans,-0.03984570165807319,0.0704331277979288,0.42044782638549805
density_bias,GMM,-0.06683874926168515,0.0499600828069458,0.7075588703155518
density_bias,CLIS-Single,0.0,0.0,2.229227066040039
density_bias,CLIS-Forest,0.3733318595348534,0.2953720444585093,11.09283447265625
concentric_shells,KMeans,-0.0016894846313843309,0.0027856511086248818,1.4831736087799072
concentric_shells,GMM,0.8944676865685852,0.8501648653378023,2.70827054977417
concentric_shells,CLIS-Single,0.5722638870199235,0.7012293525080011,3.1444761753082275
concentric_shells,CLIS-Forest,0.844380180194916,0.8255434778967126,11.844698905944824
variance_only,KMeans,0.28057580289527234,0.3869802945702603,0.0049822330474853516
variance_only,GMM,0.7890010383599168,0.7601424583876888,2.6535308361053467
variance_only,CLIS-Single,0.0,0.0,3.2909443378448486
variance_only,CLIS-Forest,0.0,0.0,11.727813482284546
checkerboard,KMeans,-0.0015989366311612405,0.0005094494797026403,0.704463005065918
checkerboard,GMM,-0.0008881728788936707,0.0011673191937282958,0.9155890941619873
checkerboard,CLIS-Single,0.0,0.0,4.12100625038147
checkerboard,CLIS-Forest,0.0,0.0,11.805954456329346
